学号,姓名,学院,专业,生日,指令,小头像,大头像
101011831,弗洛,计算机学院,计算机科学与技术,2月27日,Rollback,Npc/Icons/fl,NPC/Direct/fl
101012007,林风,计算机学院,计算机科学与技术,12月8日,Ctrl C + Ctrl V,Npc/Icons/lf,NPC/Direct/lf
101012005,纪远行,计算机学院,计算机科学与技术,8月15日,Git Push,Npc/Icons/jyx,NPC/Direct/jyx
104011012,宁芷,文学院,汉语言文学,10月26日,BSOD,Npc/Icons/nz,NPC/Direct/nz
105011037,安星瑶,理学院,数学与应用数学,9月20日,Debug,Npc/Icons/axy,NPC/Direct/axy
101011998,安澜,计算机学院,计算机科学与技术,2月19日,StackTrace,Npc/Icons/al,NPC/Direct/al
120012008,云絮,食品与生物工程学院,食品科学与工程,2月13日,404 Not Found,Npc/Icons/yx,NPC/Direct/yx
118011959,夏灼,体育学院,体育教育,5月11日,Dijkstra,Npc/Icons/xz,NPC/Direct/xz
？？？,椿,？？？,？？？,7月7日,Echo,Npc/Icons/c,NPC/Direct/c
113072012,叶含光,艺术学院,数字媒体艺术,9月14日,Ctrl U,Npc/Icons/yhg,NPC/Direct/yhg
1011991,时纪,计算机学院,计算机科学与技术,10月5日,Sudo,Npc/Icons/sj,NPC/Direct/sj
